Employee_ID,First_Name,Last_Name,Gender,Ethnicity,Age,Marital_Status,Education,City,Job_Title,Department,Years_of_Service,Monthly_Rate,Attrition,Overtime,Environment_Satisfaction,Job_Satisfaction,Work_Life_Balance,Training_Opportunities,Support_Rating,Manager_Rating
ATEA09DF,Manuia,Harrison,Male,Pacific Islander,28,Married,Masters,San Jose,Product Manager,Business,4.0,8046.58,No,No,87.1059,85.0186,66.9157,7,73.5064,81.2146
H30BJZW1,Nokomis,Smith,Female,Native American,40,Married,Masters,Sacramento,Business Analyst,Business,16.0,9562.4,No,No,88.455,88.5571,83.4453,2,77.8431,82.2811
awKFWu6m,Taylor,Jones,Female,Black or African American,33,Married,Bachelors,Fresno,Cloud Architect,Quality Assurance,4.4925,7477.73,No,No,95.2045,88.1961,55.6662,8,96.1009,86.8129
zSWB59Wu,Morgan,Hernandez,Female,Hispanic or Latino,41,Single,Bachelors,San Jose,Quality Assurance Engineer,Design,3.1498,17200.96,No,No,79.1978,53.1932,69.8234,1,99.5378,49.793
MZJHQLUQ,Linda,Jones,Female,White,44,Single,Bachelors,San Francisco,Cloud Architect,Product,5.1877,5346.39,No,No,62.9551,61.357,75.943,6,95.0333,60.9751
SUY18TWG,Mika,Palmer,Female,Native American,41,Single,Bachelors,Oakland,IT Support Specialist,Product,1.5735,6031.63,No,Yes,94.8849,82.9165,57.4307,4,68.0912,72.205
8tPH3Tgx,Pavati,King,Female,Native American,51,Single,Masters,San Diego,Business Analyst,Design,18.1447,11570.87,No,No,80.204,70.439,43.3277,1,86.7054,72.2141
UPQUYNFY,Nalani,Morton,Female,Pacific Islander,23,Married,Bachelors,Bakersfield,Data Scientist,Engineering,1.0,7846.14,No,Yes,65.9777,67.3874,50.7773,6,76.2797,55.6231
Uwabeaag,Mika,Harris,Female,Native American,41,Single,Bachelors,Bakersfield,Business Analyst,Product,16.3373,18204.06,No,Yes,84.2063,87.1093,41.8007,4,88.1765,72.7086
NJ2Q4SPS,Alex,Colon,Male,Other,38,Single,Bachelors,Fresno,Cloud Architect,Business,4.1499,4318.42,No,No,71.1532,95.4526,75.6045,4,68.3922,92.7872
569AEPWV,Taylor,Alvarez,Male,Black or African American,57,Married,Masters,Long Beach,UX Designer,Design,17.3875,7476.16,No,No,86.9459,90.6698,84.894,4,86.8553,84.942
0UCRT5N6,Alofa,Gross,Female,Pacific Islander,52,Single,Bachelors,Long Beach,Software Engineer,Engineering,23.4575,4108.91,No,No,76.6506,64.8463,44.9267,2,91.6066,55.5156
ZTO3vHMq,Manuia,Smith,Male,Pacific Islander,38,Single,Masters,San Jose,Product Manager,Product,14.0,15076.7,No,Yes,73.6914,82.6795,40.4412,8,96.4293,66.2949
VEo7eJLW,Jamie,Mann,Female,Black or African American,39,Single,Bachelors,Long Beach,Product Manager,Business,17.0,4863.28,No,No,67.0763,63.2203,52.6622,4,94.2403,56.7025
K1HU577M,Barbara,Allen,Female,White,25,Married,Bachelors,Los Angeles,Product Manager,Product,3.0,5820.85,No,Yes,91.9099,50.2478,12.0047,6,87.8643,42.4694
ZE6MDVHC,Alofa,James,Female,Pacific Islander,59,Single,Bachelors,Anaheim,Quality Assurance Engineer,Design,6.3108,6628.7,Yes,Yes,91.8239,68.4838,47.6612,8,96.8364,72.3338
2YY3YUAV,Elizabeth,Martinez,Female,White,29,Single,Bachelors,Oakland,Software Engineer,IT,7.0,13073.15,Yes,Yes,74.6007,97.1763,68.5375,7,75.772,95.4853
SLZI110Q,Taylor,Allen,Male,Other,33,Divorced,Bachelors,San Diego,UX Designer,IT,5.2738,16454.92,No,Yes,75.7664,81.1987,56.3354,4,63.4656,82.3048
87GkJ9My,Ahanu,Mitchell,Male,Native American,38,Married,Bachelors,Anaheim,Business Analyst,Engineering,1.2036,19947.85,No,No,74.6845,65.8118,69.2433,8,83.9572,68.375
SM3gxobo,Mary,Black,Female,White,53,Single,Masters,San Jose,Cloud Architect,Product,18.1821,5584.53,No,No,80.2508,68.1354,63.0866,9,69.0985,72.0678
I3BK0RYI,Jordan,Cole,Male,Other,23,Married,Masters,Los Angeles,Cloud Architect,Business,0.0,16711.33,Yes,Yes,61.4753,50.2827,16.667,2,61.9839,41.8445
6RCeiOjF,Pat,Mullins,Male,Other,31,Single,Bachelors,Long Beach,DevOps Engineer,Design,9.0,8137.46,No,No,74.7686,51.3341,43.4587,4,88.9293,50.5782
DLB67N3Z,Pat,Garza,Male,Black or African American,43,Divorced,Masters,Bakersfield,System Administrator,Business,13.6276,15093.52,Yes,No,84.7189,74.4729,61.8831,6,97.6798,63.2103
cDEvCZL9,Fetu,Hoffman,Male,Pacific Islander,29,Married,Bachelors,Fresno,Business Analyst,Quality Assurance,7.0,9430.94,No,No,73.826,79.4382,60.6714,1,85.5602,68.2097
MGUZ4NHK,John,Lucas,Male,White,36,Single,Doctorate,Los Angeles,Business Analyst,IT,10.0,18857.33,No,No,80.7008,98.5989,97.5142,7,60.8841,90.4885
L29YSC6t,John,Conley,Male,White,47,Married,Masters,Fresno,IT Support Specialist,IT,3.5671,11272.04,No,No,63.9622,63.2806,59.7506,9,77.0865,58.8226
DNUI4H8Z,Alex,Vargas,Male,Asian,42,Single,Doctorate,Long Beach,System Administrator,Quality Assurance,16.0,7261.74,Yes,No,67.899,67.2718,51.662,4,77.4153,73.1301
W0K5PBGS,Patricia,Warren,Female,White,36,Single,Bachelors,Los Angeles,Product Manager,IT,12.5982,16298.65,No,No,70.0447,58.7025,57.8053,1,65.7785,54.3965
WXDW7PL4,Nokomis,Mccullough,Female,Native American,41,Single,Bachelors,Los Angeles,IT Support Specialist,Engineering,19.0,12567.7,No,No,60.9248,59.652,58.2183,3,88.5751,54.1226
R8X0Q83V,Pat,Berry,Male,Black or African American,36,Married,Bachelors,Fresno,Quality Assurance Engineer,Design,4.4254,15444.12,No,Yes,79.5113,63.8644,52.6356,1,79.1659,64.7015
D1KK4NKN,James,Gomez,Male,White,33,Married,Masters,Fresno,Business Analyst,Engineering,0.7389,15396.38,Yes,No,99.0067,69.8872,61.9347,4,77.4241,60.2305
ZgBFNSuG,James,Smith,Male,White,35,Single,Bachelors,Long Beach,Product Manager,IT,13.0,6903.35,No,Yes,92.8147,90.5235,39.9035,2,60.171,75.9164
InjqXvyf,John,Garrison,Male,White,49,Single,Masters,Los Angeles,Business Analyst,Business,7.3978,18547.6,No,No,78.0526,70.1534,49.3566,9,67.4508,63.8963
